"ID","SOURCE","OLD_ID","NAME","COUNTRY","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","NYEARS"
"19102","SERNA","19102","SanIsidro","HONDURAS",-89.166667,14.833333,960,45.93,24.5206686845,16.539316172,49.6038040855,134.665,178.005,163.495,136.68520587,176.819130475,162.604373395,69.534657069,43.1608853225,30
"23010","SERNA","23010","Quimistan","HONDURAS",-88.406944,15.342778,190,46.068391221,33.18,22.925,28.8907539595,101.25,154.65,128.34,156.265,220.87,156.115,107.608,57.075,30
"23011","SERNA","23011","LaEntrada","HONDURAS",-88.733333,15.081944,445,36.45,21.61,22.29,35.395,143.7,267.481052155,183.85917643,214.59,265.405,160.19,82.22,48.0317551485,30
"23018","SERNA","23018","ElCiruelo","HONDURAS",-88.505556,15.299444,210,44.68,35.3867419475,22.09,35.5172297515,125.38,196.76587476,168.02265569,194.59349219,203.575,147.22,116.6,67.3778507365,30
"23020","SERNA","23020","LaLibertadCallejones","HONDURAS",-88.628611,15.2,500,120.3079012225,66.6375685205,46.444835331,39.32,184.87,306.675,211.905,230.66602682,225.817887275,207.35900261,165.4397242015,155.351942593,30
"25018","ENEE","25018","ELJARAL","HONDURAS",-88.004722,14.9375,650,128.684291545,88.104728471,63.624617977,88.082004049,198.44840014,332.860217865,436.794180505,455.275623535,514.20106591,325.51979438,198.19626787,143.823003775,30
"25020","ENEE","25020","ELMOCHITO","HONDURAS",-88.078333,14.853333,940,57.655,45.005,30.26,56.841900495,183.13,322.775,322.705,374.445,400.48,271.066483955,107.375,69.215,30
"25022","SERNA","25022","Victoria","HONDURAS",-87.389444,14.935278,360,31.6683579545,17.2907449905,27.073698587,50.9037435835,148.15718154,183.1146633,167.393986643,179.93312721,221.879010555,169.604228826,74.7744222395,23.3038365815,30
"25026","SERNA","25026","ElCoyolar","HONDURAS",-87.510833,14.316667,880,4.94,5.38,12.795,40.235,141.73,168.235,72.24,130.725,216.660812995,148.89,28.12,9.325,30
"25070","SERNA","25070","Marcala","HONDURAS",-88.040278,14.158889,1340,8.295669229,5.747446285,17.5665936085,60.373030419,212.237276995,259.305033045,191.86991374,230.59376558,294.763406045,177.732695481,36.373057259,9.0560291575,30
"25077","ENEE","25077","GRACIASLEMPIRA","HONDURAS",-88.584167,14.586667,793,16.185,7.496933763,14.54770226175,57.9311685715,119.2917110175,207.470263885,141.929436045,175.04,185.65,134.435,43.4021596335,12.535837689,30
"25079","ENEE","25079","PITOSOLO","HONDURAS",-88.011667,14.775,660,136.192544385,76.4529704345,75.091167586,85.792419305,205.98584856,298.396315335,330.153624285,407.066516695,433.78625233,355.265188945,184.073384545,135.636646425,30
"25080","SERNA","25080","LAErmita","HONDURAS",-87.068056,14.466667,760,22.3028279835,15.24,17.19,57.175,131.58,117.76,86.46,103.29,184.111842615,183.69,60.325,27.545,30
"25081","DGRH","25081","AguaCalienteFM","HONDURAS",-87.290278,14.6775,560,17.925,12.8867935433,12.575,56.32,151.165,193.77,154.495,169.732904045,239.64562707,178.60326888,59.91155253,21.22,30
"25083","ENEE","25083","SANTARITA","HONDURAS",-87.874167,15.194722,60,79.3458401125,50.885604692,42.569761031,51.423676784,121.0000476495,191.48,187.171054575,181.785,213.9,184.245,141.9134584795,91.6508048965,30
"25084","SERNA","25084","Playitas","HONDURAS",-87.701667,14.423611,595,7.2055979825,5.59585728655,15.014135824,33.070629727,118.885,157.505,88.910530006,130.8309355415,180.651536913,135.4424702625,29.9242749045,12.7179232245,30
"25085","ENEE","25085","SANTAELENA","HONDURAS",-87.920833,14.892778,640,100.01,64.545,64.825,74.925,251.295,377.86,336.335,406.435,479.549815775,354.815,160.8409233585,105.845,30
"25086","ENEE","25086","ELCAJON","HONDURAS",-87.739722,14.976111,300,43.8810923735,18.325264277,17.825296336,46.1225529765,139.9372060515,240.91802076,227.91503126,234.089790765,277.280010515,186.095677985,92.6714946,40.8091162025,30
"25087","ENEE","25087","SANJERÓNIMO","HONDURAS",-87.604167,14.625833,440,28.051547806,17.555144307,15.442892104,59.47,185.582987585,185.297621595,179.083899075,225.021435375,317.46793555,231.241947965,72.1497114465,30.8020881205,30
"25088","SERNA","25088","SanNicolas","HONDURAS",-87.341667,14.714167,600,23.340939655,12.8637965065,11.736342333,47.275304492,156.5993611365,206.528113125,161.44274505,186.7615557905,238.332671195,191.970391705,58.9716880225,19.8078139545,30
"25095","SERNA","25095","LaLaguna","HONDURAS",-87.756111,14.416667,1180,31.7596363095,22.6908520325,30.3362274105,39.5276288945,108.91866609,155.18911132,140.002356116,172.26808833,210.00140287,177.552676075,70.0215944595,28.250767404,30
"25096","SERNA","25096","PortillodelaMora","HONDURAS",-87.767222,14.418056,1380,39.9684391985,21.2513137085,30.2123911355,51.155834327,183.67548004,257.763541115,166.39835901,206.81393453,277.44043103,229.2149464765,89.788724026,47.7906325645,30
"25103","ENEE","25103","SULACO","HONDURAS",-87.265,14.91,410,13.085,10.38,13.13,33.415,127.78,147.89,126.127358435,140.26,176.86,146.645,36.13,13.595,30
"25104","ENEE","25104","VALLECILLO","HONDURAS",-87.395833,14.5175,107,42.985,28.335,25.185,88.875,210.745,233.67,217.46,229.475,291.88,275.41,88.72,45.955,30
"25105","ENEE","25105","ESQUIAS","HONDURAS",-87.369444,14.741389,660,19.1463862655,12.4475597905,15.450229503,52.97,156.62,206.775,172.965,210.8025087,227.968758935,184.315,67.3400526775,21.385,30
"25106","ENEE","25106","SANIGNACIO","HONDURAS",-87.040556,14.656389,700,18.425,10.8118456195,14.67,54.5738937025,140.038204665,116.21,99.9053757795,125.854421444,184.4130241785,192.3703977725,60.895213295,20.491643375,30
"25114","ENEE","25114","ULAPA","HONDURAS",-88.604444,14.973056,330,20.1969403715,11.7013945895,10.635,33.725,129.635,282.05,212.55,229.278520905,247.037366525,159.806034303,55.9046651595,34.957018928,30
"25116","ENEE","25116","MARALE","HONDURAS",-87.167222,14.894167,720,16.725,9.6339911485,11.443405598,33.7282780605,138.36,150.18,129.005,152.76,217.855,172.48,58.4383319765,17.959989895,30
"25117","ENEE","25117","LASFLORES","HONDURAS",-88.626389,14.708056,500,3.4563172084,4.8603380826,19.06334077435,26.3709041195,127.979218265,148.765691912,86.688344784,127.8557257155,189.7497554425,131.8136746375,23.6574066967,6.8127351195,30
"25120","ENEE","25120","GUALTAYA","HONDURAS",-88.821944,14.678889,1000,22.8,8.605,24,51.055,142.626694683,211.285,167.18,191.5,248.288894505,158.1445647045,39.525,24.9237763075,30
"25122","ENEE","25122","PALMITAL","HONDURAS",-87.815,14.853611,850,53.49,31.375,27.925,51.055,178.225,288.98,291.765,269.675,326.02,240.41600792,93.44,60.215697814,30
"25138","ENEE","25138","SNJOSEDELAMONTAÑA","HONDURAS",-88.356389,14.692222,820,54.33,30.111495237,32.2641346775,56.78158462,191.84,309.22225778,270.84,378.15,402.69,260.115,122.78,72.6905624175,30
"25139","ENEE","25139","ELTABLON","HONDURAS",-88.451667,14.731111,930,20.727653729,16.84,16.08,36.56,136.3374540945,241.405,210.853972365,256.965,271.529481105,170.5,58.317969738,30.67,30
"25140","ENEE","25140","LAUNION","HONDURAS",-88.404444,14.813889,1040,54.2532011575,37.055,28.14,45.675,156.955949475,288.039392915,219.92100249,252.418537465,280.735,202.738360415,94.179545989,56.931292004,30
"25142","ENEE","25142","ELNISPERO","HONDURAS",-88.338056,14.771667,600,31.86,17.145,17.135,29.475,159.92,269.17,227.006380625,276.87,297.92,166.16,62.924972565,34.91704621,30
"25146","SERNA","25146","Subirana","HONDURAS",-87.447222,15.2,870,59.0862336185,33.850175353,25.4188218915,44.124467623,155.82758572,232.80968409,180.197291835,234.30508623,280.781116145,234.913741665,133.43077849,55.7914360385,30
"25156","ENEE","25156","LAPIMIENTA","HONDURAS",-88.054167,14.748333,640,103.8,58.86,47.6897128505,68.34,196.4433708,312.594332325,272.860495945,344.98226173,397.63,392.39784675,197.165,110.859978725,30
"25200","ENEE","25200","PUEBLONUEVO","HONDURAS",-87.776944,14.761667,124,22.585,14.165,16.335,44.64,152.3,256.73,247.495,266.73,305.82,211.93,61.965,33.128037312,30
"27011","SERNA","27011","LaUnionAtlantida","HONDURAS",-86.98,15.715278,10,314.775,121.955,131.17,49.1946849255,61.79,105.09952721,76.092390325,95.145311825,219.84,326.169176655,381.80994962,274.455767785,30
"27012","SERNA","27012","SanMarcosAtlantida","HONDURAS",-87.113611,15.530556,220,314.358194875,196.6720412,176.18942644,94.43682466,167.313757335,224.7261143,263.867922695,232.59361101,308.79399061,380.439455445,465.105803595,281.714249115,30
"27013","SERNA","27013","SanFranciscoJFK","HONDURAS",-87.032222,15.681111,10,435.67,218.926820815,207.085,99.365,111.28806,140.265,218.74,254.785,275.34568611,431.465,538.09,392.86884422,30
"33016","ENEE","33016","YORITO","HONDURAS",-87.284444,15.066111,760,38.785,22.4469334925,21.364562151,32.6095795205,150.52,199.125,178.05,183.92330474,197.8805136845,184.06,74.545,37.55,30
"33037","DGRH","33037","PiedraBlanca","HONDURAS",-86.711389,15.336667,480,67.345,42.5324868845,45.8917239645,40.6600683935,128.700662955,133.167862525,123.60016595,120.68200079,187.44003506,185.713747575,121.3717873905,107.263170493,30
"33038","DGRH","33038","ElRosario","HONDURAS",-86.703056,14.902778,780,25.155,18.2712979115,13.785,28.135,131.08,141.755,127.345,116.5495352345,136.82439079,142.560584225,71.755578855,28.12,30
"33041","SERNA","33041","Sonaguera","HONDURAS",-86.276389,15.62,90,132.07876201,84.31,78.792329367,37.2887204745,115.2574052615,134.87,98.87,128.235,190.085,216.48981715,223.552904875,155.14553344,30
"33042","SERNA","33042","ElCoco","HONDURAS",-86.058611,15.744444,50,173.405,115.59,101.6053212305,48.463620862,74.16,85.195,97.77493327,96.77625303,141.395,248.17,214.37526224,168.886340715,30
"33043","SERNA","33043","Mejia","HONDURAS",-86.874167,15.130556,560,35.325,20.345,22.405,45.9814045105,140.6,199.428009805,230.56,197.7130383915,232.13968493,187.866129445,96.859366505,42.46038389,30
"33047","SERNA","33047","LasMangas","HONDURAS",-86.061111,15.559722,180,141.907965686,86.0035776965,79.859331211,56.0202318595,102.0703748815,144.54308273,147.82516775,187.96159496,191.266020705,262.348535805,293.944934795,173.241482415,30
"33048","SERNA","33048","AguaCalienteYoro","HONDURAS",-87.058056,15.421667,390,120.2428750755,92.653933558,56.046890634,51.35,106.293857511,145.045,114.6,138.392812615,214.435,220.6257020935,160.46171878,88.7419236525,30
"33051","SERNA","33051","Tapiquil","HONDURAS",-86.016667,15.475,440,160.27527852,86.29734979,109.524606624,69.56230392,169.82124498,181.59376079,206.365546615,210.261173525,233.0111781,349.4771593,313.01089512,164.245319845,30
"35007","ENEE","35007","LaVenta","HONDURAS",-85.875278,15.080556,530,18.3468925945,13.9779548135,13.049834131,46.3850368925,138.207646626,142.65650554,113.71291595,102.7965261955,166.3683124235,146.915365125,60.3911881375,21.5591992015,30
"39001","ENEE","39001","Cayetano","HONDURAS",-86.014167,14.461111,299,58.79,35.71,26.556907481,26.164802604,134.935,186.36,251,214.545,195.369866194,181.8223618155,102.5838632065,56.0585961095,30
"39003","SERNA","39003","Guayabillas","HONDURAS",-86.291667,14.585556,420,31.51,22.58,21.035,37.075,120.055,168.688707815,176.545,155.035,183.489329485,172.335,79.8672454515,37.16631495,30
"39009","SERNA","39009","VillaAhumada","HONDURAS",-86.571667,14.004167,830,30.78,20.715066626,17.57,31.8383607165,135.6753561615,163.33134498,137.9580470335,146.423619155,171.073827501,158.0164462,57.1884893585,26.7995090465,30
"39015","SERNA","39015","Teupasenti","HONDURAS",-86.705556,14.220833,550,22.8248930635,9.9928500975,14.6812734075,40.28496036,125.359378481,143.4439964,125.6956329105,125.6941241575,155.381824163,149.230916778,57.0703020875,22.836645163,30
"39025","ENEE","39025","LASANIMAS","HONDURAS",-86.606667,14.207222,600,35.4599259335,16.915,16.43,42.69,137.67,188.62205716,206.43,163.55084619,187.77402805,177.50872988,59.845,37.9874906785,30
"39026","SERNA","39026","Punuare","HONDURAS",-85.973889,14.740278,335,35.658132561,16.915,16.43,42.69,137.67,184.090662765,206.43,170.684568395,183.59754498,182.30597672,59.845,38.3872102325,30
"39027","SERNA","39027","LaConce","HONDURAS",-86.192778,14.646667,350,30.1,17.14,15.515,43.895,110.825,155.455,161.4,139.04,163.9,155.615,69.91,36.96,30
"39028","SERNA","39028","Guajiniquil","HONDURAS",-86.152778,14.278333,362,54.965836377,35.809617912,30.7087196245,27.1210865205,105.3849647395,156.81786604,232.60555741,189.7081525,158.19202469,168.127807555,94.2893899575,57.370220628,30
"39030","ENEE","39030","LASMESETAS","HONDURAS",-85.765833,14.806389,350,40.6322995735,24.9411900955,21.810477825,21.5369678085,99.8668519365,189.508662285,211.042835045,164.379499075,157.279915886,162.984058382,102.124510545,50.8320622865,30
"39031","ENEE","39031","SanAntonio","HONDURAS",-86.3125,14.663333,440,22.86,13.55,27.135,19.3549012085,96.595,116.982971715,138.58599618,120.5743569795,163.088806995,128.56073604,69.4881847715,24.567898651,30
"39032","ENEE","39032","ELBIJAO","HONDURAS",-86.408611,14.450556,540,33,21.285,16.225,40.48,126.335,171.62373322,233.31130982,204.09593052,172.180473975,201.867747066,82.02,29.7,30
"39033","ENEE","39033","MANTO","HONDURAS",-86.3775,14.920556,620,26.71,12.455,15.02,25.965,99.085,151.705,145.565,141.915,178.17,173.37,63.185,27.51680463,30
"39035","ENEE","39035","aldeaVIEJA","HONDURAS",-86.681111,14.635833,640,23.941542632,15.927856468,29.956469385,36.0956452655,108.9945474815,101.5890766645,108.341501225,106.6176349215,123.754567686,135.4921021175,69.5668797955,37.46313936,30
"39037","ENEE","39037","LALIMA","HONDURAS",-86.597778,14.555278,540,28.915,17.68,16.425,37.96,119.98,156.835,138.755,127.405,164.23,155.205,76.835,41.46,30
"39038","ENEE","39038","AZACUALPA","HONDURAS",-86.11,14.436667,480,69.5689967505,36.7849842745,33.9997340615,36.6367634955,163.8689957055,199.687378855,306.38326002,232.62198745,220.29835045,240.65452211,112.4791985195,60.010103825,30
